id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
282	60	yesno	Trailer Fog Lights	Are all the fog lights free from defects?	Are all the fog lights free from defects?	Fog light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
283	60	yesno	Trailer Fog Lights	Are all the fog lights free from defects?	Are all the fog lights free from defects?	Fog light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
284	61	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
285	61	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
286	61	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
287	61	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
288	61	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
289	61	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
290	62	yesno	Trailer Reflectors	Are all the reflectors free from defects?	Are all the reflectors free from defects?	Reflectors cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
291	62	yesno	Trailer Reflectors	Are all the reflectors free from defects?	Are all the reflectors free from defects?	Reflectors damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
292	62	yesno	Trailer Reflectors	Are all the reflectors free from defects?	Are all the reflectors free from defects?	Reflectors cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
293	62	yesno	Trailer Reflectors	Are all the reflectors free from defects?	Are all the reflectors free from defects?	Reflectors damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
294	63	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
295	63	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
296	63	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
297	63	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
298	63	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
299	63	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
300	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Indicator light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
301	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Indicator light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
302	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Indicator light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
303	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Indicator light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
304	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Indicator light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
305	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Indicator light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
306	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Hazard light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
307	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Hazard light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
308	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Hazard light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
309	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Hazard light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
310	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Hazard light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
311	64	yesno	Trailer Indicators and Hazard	Are all trailer indicator and Hazard lights free from defects?	Are all trailer indicator and Hazard lights free from defects?	Hazard light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / First Mile Workshop	1	1
312	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (1st axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
313	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (1st axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
314	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (2nd axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
315	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (2nd axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
316	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (3rd axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
317	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (3rd axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
318	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (1st axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
