id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
80	13	yesno	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Spray suppression	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
81	14	yesno	Battery and Electrics	Are the electrics and the battery free from defects and secure?	Are the electrics and the battery free from defects and secure?	Battery flat/won't start	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
82	14	yesno	Battery and Electrics	Are the electrics and the battery free from defects and secure?	Are the electrics and the battery free from defects and secure?	Battery is leaking	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
83	14	yesno	Battery and Electrics	Are the electrics and the battery free from defects and secure?	Are the electrics and the battery free from defects and secure?	Damaged cables	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
84	14	yesno	Battery and Electrics	Are the electrics and the battery free from defects and secure?	Are the electrics and the battery free from defects and secure?	Damaged connectors/couplings	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
85	15	yesno	Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Brake system	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
86	15	yesno	Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Coolant leak	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
87	15	yesno	Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Fuel leak	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
88	15	yesno	Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Oil leak	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
89	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	Audible left turn alarm	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
90	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	FORS Sticker	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
91	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	In-cab height indicator	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
92	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	Near side camera screen	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
93	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	Rear cyclist warning sticker	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
94	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	Reverse alarm	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
95	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	Reverse camera	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
96	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	Side proximity sensors	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
97	16	yesno	FORS Checks	Are all required FORS items free of defects?	Are all required FORS items free of defects?	Side under-run	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
98	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	Boom sections	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
99	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	Control levers	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
100	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	Emergency stop device	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
101	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	Grease points	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
102	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	Hydraulic oil level	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
103	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	Hydraulic section	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
104	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	Load charts, plate and symbols	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
105	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	Mounting bolts	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
106	17	yesno	Mounted Crane Checks	Is the grab free of defects?	Is the grab free of defects?	PTO	0	0	1	0	1	0	\N	Roadworthy - item to be inspected / replaced	1	1
107	18	yesno	Trailer Coupling 5th Wheel	Is the 5th wheel greased, is the clasp in good order and secure to the tractor unit?	Is the 5th wheel greased, is the clasp in good order and secure to the tractor unit?	No its not greased	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
108	18	yesno	Trailer Coupling 5th Wheel	Is the 5th wheel greased, is the clasp in good order and secure to the tractor unit?	Is the 5th wheel greased, is the clasp in good order and secure to the tractor unit?	Security clasp not in good order	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
109	18	yesno	Trailer Coupling 5th Wheel	Is the 5th wheel greased, is the clasp in good order and secure to the tractor unit?	Is the 5th wheel greased, is the clasp in good order and secure to the tractor unit?	Unsecured	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
110	19	yesno	Trailer Coupling Air Susie	Is the Air Susie free from leaks and tangle free?	Is the Air Susie free from leaks and tangle free?	Tangle free	0	0	0	0	0	0	\N	Roadworthy - item to be tided	1	1
111	19	yesno	Trailer Coupling Air Susie	Is the Air Susie free from leaks and tangle free?	Is the Air Susie free from leaks and tangle free?	Free from leaks 	0	0	0	0	1	0	\N	Not roadworthy - hoses to be replaced	1	1
112	20	yesno	Trailer Coupling Electric Susie	Is the Electric Susie free from leaks and tangle free?	Is the Electric Susie free from leaks and tangle free?	Tangle free	0	0	0	0	0	0	\N	Roadworthy - item to be tided	1	1
113	20	yesno	Trailer Coupling Electric Susie	Is the Electric Susie free from leaks and tangle free?	Is the Electric Susie free from leaks and tangle free?	Free from damage	0	0	0	0	1	0	\N	Not roadworthy - Susie to be replaced	1	1
114	21	yesno	Trailer Coupling Camera Susie	Is the Camera Susie free from leaks and tangle free?	Is the Camera Susie free from leaks and tangle free?	Tangle free	0	0	0	0	0	0	\N	Roadworthy - item to be tided	1	1
115	21	yesno	Trailer Coupling Camera Susie	Is the Camera Susie free from leaks and tangle free?	Is the Camera Susie free from leaks and tangle free?	Free from damage	0	0	0	0	0	0	\N	Roadworthy - Susie to be replaced	1	1
116	22	yesno	Donkey Engine	Is the donkey engine engine oil, coolant, Adblue and auto greaser levels sufficient?	Is the donkey engine engine oil, coolant, Adblue and auto greaser levels sufficient?	Engine oil (top up as required)	0	0	0	0	0	0	\N	Re-fill as required	1	1
117	22	yesno	Donkey Engine	Is the donkey engine engine oil, coolant, Adblue and auto greaser levels sufficient?	Is the donkey engine engine oil, coolant, Adblue and auto greaser levels sufficient?	Coolant (top up as required)	0	0	0	0	0	0	\N	Re-fill as required	1	1
