30	Car - Rav 4	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
31	Car - Taycan	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
32	Car - Tesla	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
33	Car - VW ID3	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
34	Daf Sweeper	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
35	Dropside Van - Mercedes	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
36	Dumper 1.5t - Wacker	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
37	Dumper 3t - JCB	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
38	Dumper 3t - Thwaites	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
39	Dumper 6t - Thwaites	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
