id,order,type,page_title,app_question,app_question_with_defect,defect,has_not_applicable_option,defect_order,has_image,has_text,is_prohibitional,show_warning,warning_text,safety_notes,for_hgv,for_non-hgv,,,
1,0,yesno,Check Your Vehicle's Levels,"Are the vehicle's coolant, engine oil and screenwash levels sufficient?","Are the vehicle's coolant, engine oil and screenwash levels sufficient?",Engine oil (top up as required),0,0,0,0,1,0,Don't forget - Don't open the coolant bottle/radiator whilst the vehicle is hot.,N/A,1,1,,,
2,0,yesno,Check Your Vehicle's Levels,"Are the vehicle's coolant, engine oil and screenwash levels sufficient?","Are the vehicle's coolant, engine oil and screenwash levels sufficient?",Coolant (top up as required),0,0,0,0,1,0,Don't forget - Don't open the coolant bottle/radiator whilst the vehicle is hot.,N/A,1,1,,,
3,0,yesno,Check Your Vehicle's Levels,"Are the vehicle's coolant, engine oil and screenwash levels sufficient?","Are the vehicle's coolant, engine oil and screenwash levels sufficient?",Fuel (top up as required),0,0,0,0,1,0,Don't forget - Don't open the coolant bottle/radiator whilst the vehicle is hot.,N/A,1,1,,,
4,0,yesno,Check Your Vehicle's Levels,"Are the vehicle's coolant, engine oil and screenwash levels sufficient?","Are the vehicle's coolant, engine oil and screenwash levels sufficient?",Screenwash (use water if necessary),0,0,0,0,1,0,Don't forget - Don't open the coolant bottle/radiator whilst the vehicle is hot.,N/A,1,1,,,
5,0,yesno,Check Your Vehicle's Levels,"Are the vehicle's coolant, engine oil and screenwash levels sufficient?","Are the vehicle's coolant, engine oil and screenwash levels sufficient?",AdBlue (top up as required),0,0,0,0,1,0,\N,N/A,1,1,,,
6,1,yesno,Dash Status and Warnings,Is the dashboard free from advisory or warning symbols?,Is the dashboard free from advisory or warning symbols?,AdBlue warning light on dash,0,0,1,0,1,0,\N,Re-fill Adblue asap,1,1,,,
7,1,yesno,Dash Status and Warnings,Is the dashboard free from advisory or warning symbols?,Is the dashboard free from advisory or warning symbols?,Anti-locking braking system (Amber),0,0,1,0,1,0,\N,Roadworthy but needs workshop visit,1,1,,,
8,1,yesno,Dash Status and Warnings,Is the dashboard free from advisory or warning symbols?,Is the dashboard free from advisory or warning symbols?,Anti-locking braking system (Red),0,0,1,0,1,0,\N,Not roadworthy vehicle must be VOR,1,1,,,
9,1,yesno,Dash Status and Warnings,Is the dashboard free from advisory or warning symbols?,Is the dashboard free from advisory or warning symbols?,Battery (Amber),0,0,1,0,1,0,\N,Roadworthy but needs workshop visit,1,1,,,
10,1,yesno,Dash Status and Warnings,Is the dashboard free from advisory or warning symbols?,Is the dashboard free from advisory or warning symbols?,Battery (Red),0,0,1,0,1,0,\N,Not roadworthy vehicle must be VOR,1,1,,,
