"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"02/03/2023 08:34",CA22VTF,76.62,"Not imported vehicle not recognised"
"02/03/2023 08:31",HV70CVA,58.38,"Imported successfully"
"02/03/2023 08:31",HT71ZRO,73.68,"Imported successfully"
"02/03/2023 08:16",FN67VYP,121.48,"Imported successfully"
"02/03/2023 08:10",SM22LMW,71.05,"Not imported vehicle not recognised"
"02/03/2023 08:09",SM22XAC,63.95,"Imported successfully"
"02/03/2023 08:04",BT22UDX,72.94,"Imported successfully"
"02/03/2023 07:52",WN70BDE,69.21,"Imported successfully"
"02/03/2023 07:36",GY10KWG,128.51,"Not imported vehicle not recognised"
"02/03/2023 07:26",WP70LGL,73.7,"Imported successfully"
"01/03/2023 18:21",BT71OKK,72.4,"Imported successfully"
"01/03/2023 17:54",SM22LJE,57.75,"Imported successfully"
"01/03/2023 17:38",WV70PMY,78.51,"Imported successfully"
"01/03/2023 15:32",DN21PNV,76.69,"Not imported vehicle not recognised"
"01/03/2023 15:00",SG20OMV,75.11,"Imported successfully"
"01/03/2023 14:59",HV70DVN,73.98,"Imported successfully"
"01/03/2023 14:22",MK20UWT,61.64,"Not imported vehicle not recognised"
"01/03/2023 14:05",SH70KFF,76.03,"Imported successfully"
"01/03/2023 12:23",SM2LJF,46.47,"Not imported vehicle not recognised"
"01/03/2023 11:49",DT19BSX,52.78,"Not imported vehicle not recognised"
"01/03/2023 11:06",BJ22FXO,57.89,"Imported successfully"
"01/03/2023 10:49",SA70XVR,68.48,"Not imported vehicle not recognised"
"01/03/2023 10:14",YR72RYK,33.88,"Not imported vehicle not recognised"
"01/03/2023 09:46",CK70VFA,70.48,"Imported successfully"
"01/03/2023 09:39",SG20OLP,59.15,"Imported successfully"
"01/03/2023 09:37",YT22XJN,46.7,"Imported successfully"
"01/03/2023 09:31",DL21KFD,107.22,"Not imported vehicle not recognised"
"01/03/2023 09:10",SG70PXJ,67.47,"Not imported vehicle not recognised"
"01/03/2023 09:10",SG70PXJ,14.19,"Not imported vehicle not recognised"
"01/03/2023 08:31",HW20XLB,74.05,"Not imported vehicle not recognised"
"01/03/2023 08:17",FN67VYP,121.48,"Imported successfully"
"01/03/2023 08:15",YP22CNK,67.2,"Imported successfully"
"01/03/2023 07:36",YT22XJP,50.96,"Imported successfully"
"01/03/2023 07:31",SB66YJD,84.19,"Imported successfully"
"01/03/2023 07:17",BT70VVE,75.78,"Imported successfully"
"01/03/2023 06:24",MA70LKF,53.62,"Imported successfully"
"28/02/2023 18:13",SM22XAE,49.89,"Imported successfully"
"28/02/2023 16:11",YP72FBV,39.38,"Not imported vehicle not recognised"
"28/02/2023 16:00",SM18HEV,73.33,"Not imported vehicle not recognised"
"28/02/2023 15:57",WV70PKK,61.36,"Imported successfully"
"28/02/2023 15:44",SM22WZS,57.95,"Imported successfully"
"28/02/2023 15:29",BN70RVT,48.65,"Imported successfully"
"28/02/2023 14:30",YP22CLZ,79.79,"Imported successfully"
"28/02/2023 14:19",BG70VTW,76.42,"Not imported vehicle not recognised"
"28/02/2023 14:01",GL70BJV,79.36,"Imported successfully"
"28/02/2023 13:38",DY22RKZ,61.1,"Imported successfully"
"28/02/2023 12:42",SH72OJS,38.04,"Not imported vehicle not recognised"
"28/02/2023 12:17",BT70VTW,48.74,"Imported successfully"
"28/02/2023 11:25",WP70TYT,72.99,"Imported successfully"
"28/02/2023 11:15",HV72OKX,74.41,"Imported successfully"
"28/02/2023 10:52",SC67GYS,81.56,"Not imported vehicle not recognised"
"28/02/2023 10:38",BN70XKS,70.8,"Imported successfully"
"28/02/2023 10:17",WP70LHZ,76.91,"Imported successfully"
"28/02/2023 10:14",MA70LGZ,60.34,"Imported successfully"
"28/02/2023 09:53",EF72SMX,51.41,"Not imported vehicle not recognised"
"28/02/2023 08:58",CV68FZT,74.46,"Imported successfully"
"28/02/2023 08:52",SH72NSE,85.85,"Not imported vehicle not recognised"
"28/02/2023 08:24",GJ21LHO,75.73,"Imported successfully"
"28/02/2023 08:17",YJ19CPG,59.4,"Imported successfully"
"28/02/2023 08:11",SH21AUP,76.9,"Imported successfully"
"28/02/2023 07:54",YP22CNK,82.75,"Imported successfully"
"28/02/2023 07:51",CA22WCP,72.46,"Not imported vehicle not recognised"
"28/02/2023 06:57",DK22WZE,45.26,"Not imported vehicle not recognised"
"27/02/2023 17:38",AJ72UHN,58.01,"Not imported vehicle not recognised"
"27/02/2023 17:33",YR72RYM,35.63,"Not imported vehicle not recognised"
"27/02/2023 17:27",M14MCV,32.99,"Not imported vehicle not recognised"
"27/02/2023 16:39",CT68ORU,68.9,"Not imported vehicle not recognised"
"27/02/2023 16:11",YP22GGJ,39.83,"Not imported vehicle not recognised"
"27/02/2023 15:54",BK22WVC,51.93,"Imported successfully"
"27/02/2023 15:20",SG20OJJ,78.94,"Imported successfully"
"27/02/2023 15:16",MA70LCO,81.2,"Imported successfully"
"27/02/2023 14:49",SH69XVB,52.82,"Imported successfully"
"27/02/2023 14:47",SM22LHY,82.45,"Imported successfully"
"27/02/2023 14:35",BK22HJD,77.29,"Imported successfully"
"27/02/2023 13:50",YT22XJV,55.53,"Imported successfully"
"27/02/2023 13:10",SM22LJE,64,"Imported successfully"
"27/02/2023 13:08",CA22OKU,89.85,"Not imported vehicle not recognised"
"27/02/2023 12:00",WV70PNE,64.99,"Imported successfully"
"27/02/2023 11:39",SG20OLP,106.51,"Imported successfully"
