"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"15/02/2023 07:54",MA7LGZ,58.12,"Not imported vehicle not recognised"
"15/02/2023 07:51",CA22VKT,86.72,"Not imported vehicle not recognised"
"15/02/2023 07:38",YR70USD,80.45,"Imported successfully"
"15/02/2023 07:16",WV70PNE,67.67,"Imported successfully"
"15/02/2023 07:02",YT22XJP,51.96,"Imported successfully"
"15/02/2023 06:57",BK2HJV,30.11,"Not imported vehicle not recognised"
"14/02/2023 16:43",BT70VVM,75.38,"Imported successfully"
"14/02/2023 16:42",SM22LHY,86.29,"Imported successfully"
"14/02/2023 16:05",SC68FVZ,83.16,"Not imported vehicle not recognised"
"14/02/2023 15:41",BT70VVH,61.2,"Imported successfully"
"14/02/2023 15:14",CN21DVB,56.74,"Imported successfully"
"14/02/2023 15:01",BG70TDU,72.2,"Imported successfully"
"14/02/2023 14:47",HW70SFU,82.38,"Imported successfully"
"14/02/2023 14:46",SM22XAE,48.58,"Imported successfully"
"14/02/2023 14:40",WP70TYT,61.23,"Imported successfully"
"14/02/2023 14:39",BT22UDX,40.85,"Imported successfully"
"14/02/2023 14:17",HV70DVN,73.97,"Imported successfully"
"14/02/2023 14:15",CT68ORU,76.9,"Not imported vehicle not recognised"
"14/02/2023 14:01",YP72GVY,37.47,"Not imported vehicle not recognised"
"14/02/2023 13:40",HT22VBY,72.13,"Imported successfully"
"14/02/2023 13:35",YP72HLH,34.36,"Not imported vehicle not recognised"
"14/02/2023 13:09",FN67VYP,124.51,"Imported successfully"
"14/02/2023 12:53",SG20OLP,56.75,"Imported successfully"
"14/02/2023 12:38",WN70BDE,67.87,"Imported successfully"
"14/02/2023 11:28",CK70VFA,64.23,"Imported successfully"
"14/02/2023 10:36",SM18HEV,67,"Not imported vehicle not recognised"
"14/02/2023 09:50",BJ22FXO,59.68,"Imported successfully"
"14/02/2023 09:46",BJ22FXO,3.39,"Imported successfully"
"14/02/2023 09:43",YR72RYK,22.3,"Not imported vehicle not recognised"
"14/02/2023 09:14",BG22LBF,56.8,"Imported successfully"
"14/02/2023 08:40",FN19JLO,243.6,"Imported successfully"
"14/02/2023 08:31",CV68FZT,70.96,"Imported successfully"
"14/02/2023 08:22",CE68DDL,121.05,"Not imported vehicle not recognised"
"14/02/2023 08:03",DL21NWR,74.58,"Imported successfully"
"14/02/2023 07:42",BT71OKK,72.3,"Imported successfully"
"14/02/2023 07:17",SM64AKO,30.21,"Not imported vehicle not recognised"
"14/02/2023 07:07",SB69BBO,58.22,"Imported successfully"
"13/02/2023 19:17",SM22LHW,7.72,"Imported successfully"
"13/02/2023 19:17",SM22LHW,62.18,"Imported successfully"
"13/02/2023 17:34",YR72RYM,41.23,"Not imported vehicle not recognised"
"13/02/2023 16:14",BK22WXN,76.66,"Imported successfully"
"13/02/2023 16:12",CN69FRU,80.51,"Imported successfully"
"13/02/2023 14:49",CA22OKU,85.07,"Not imported vehicle not recognised"
"13/02/2023 14:19",SM22XAC,66.75,"Imported successfully"
"13/02/2023 13:30",DT19SX,37.18,"Not imported vehicle not recognised"
"13/02/2023 13:08",YP22CNK,71.99,"Imported successfully"
"13/02/2023 12:52",SM22LJF,73.55,"Imported successfully"
"13/02/2023 12:42",WP70TZK,72.14,"Imported successfully"
"13/02/2023 11:44",YP22CNX,75.14,"Imported successfully"
"13/02/2023 11:37",WV70PKK,54.46,"Imported successfully"
"13/02/2023 11:17",BJ70YKG,63.67,"Imported successfully"
"13/02/2023 10:51",MA70LC0,79.61,"Not imported vehicle not recognised"
"13/02/2023 10:16",BK22WVC,56.35,"Imported successfully"
"13/02/2023 10:13",WV70PMY,81.6,"Imported successfully"
"13/02/2023 10:00",YP72GVV,68.78,"Not imported vehicle not recognised"
"13/02/2023 09:50",SB69EAF,53.63,"Imported successfully"
"13/02/2023 08:56",SH70KFF,69.17,"Imported successfully"
"13/02/2023 08:37",BN70RVT,49.49,"Imported successfully"
"13/02/2023 08:29",YT22XJM,47.96,"Imported successfully"
"13/02/2023 08:27",CA22WCP,89.19,"Not imported vehicle not recognised"
"13/02/2023 08:18",FN67VYP,124.51,"Imported successfully"
"13/02/2023 08:17",DN21PLZ,55.43,"Imported successfully"
"13/02/2023 08:14",BK22WWC,72.4,"Imported successfully"
"13/02/2023 08:13",YT22XJO,57.09,"Imported successfully"
"13/02/2023 08:05",SC67GYS,76.61,"Not imported vehicle not recognised"
"13/02/2023 06:53",BD20AKY,73.32,"Imported successfully"
"13/02/2023 06:42",SG20OJE,62.87,"Imported successfully"
"13/02/2023 06:41",SG20OMV,72.5,"Imported successfully"
"13/02/2023 06:26",BK22HJD,60.86,"Imported successfully"
"13/02/2023 06:21",MA70LKF,71.84,"Imported successfully"
"13/02/2023 06:20",WP70LCL,64.78,"Imported successfully"
