"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"20/02/2023 09:35",DP69YKM,78.98,"Imported successfully"
"24/02/2023 11:23",DT19BSX,55.34,"Not imported vehicle not recognised"
"24/02/2023 12:01",DT19NPX,69.38,"Not imported vehicle not recognised"
"21/02/2023 08:08",DT70JWV,97.06,"Imported successfully"
"22/02/2023 08:06",DV22SMX,158.61,"Imported successfully"
"24/02/2023 13:34",DV69CEX,74.26,"Imported successfully"
"23/02/2023 14:40",DV70UHR,62.59,"Imported successfully"
"20/02/2023 15:34",DY70UES,54.62,"Not imported vehicle not recognised"
"24/02/2023 07:40",FN19JLO,317.39,"Imported successfully"
"21/02/2023 08:19",FN19JLO,287.45,"Imported successfully"
"24/02/2023 15:19",FN67VYP,124.5,"Imported successfully"
"22/02/2023 08:30",FN67VYP,124.5,"Imported successfully"
"21/02/2023 08:30",FN67VYP,124.5,"Imported successfully"
"21/02/2023 10:13",GJ21LHO,84.2,"Imported successfully"
"22/02/2023 12:14",GL70BJV,80.34,"Imported successfully"
"24/02/2023 11:55",HT22VBY,73.87,"Imported successfully"
"20/02/2023 21:10",HT22VBY,70.04,"Imported successfully"
"22/02/2023 14:40",HT22YDO,78.15,"Imported successfully"
"23/02/2023 17:45",HT71ZRO,71.69,"Imported successfully"
"23/02/2023 11:18",HV70CVA,66.66,"Imported successfully"
"22/02/2023 08:07",HV70DVN,80.88,"Imported successfully"
"20/02/2023 08:46",HV72OKX,75.72,"Imported successfully"
"22/02/2023 07:50",HW20XLD,78.17,"Imported successfully"
"23/02/2023 11:16",HW70SFU,82.76,"Imported successfully"
"20/02/2023 10:14",HW70SFU,81.6,"Imported successfully"
"21/02/2023 11:48",LG12LSE,82.48,"Not imported vehicle not recognised"
"21/02/2023 17:34",M14MCV,33.88,"Not imported vehicle not recognised"
"22/02/2023 12:31",MA70LGZ,58.69,"Imported successfully"
"24/02/2023 06:07",MA70LKF,69.79,"Imported successfully"
"22/02/2023 06:25",MA70LKF,54.58,"Imported successfully"
"22/02/2023 17:01",MK21WJA,74.49,"Imported successfully"
"20/02/2023 16:11",MP70LFG,66.2,"Not imported vehicle not recognised"
"21/02/2023 08:37",NK19VVY,88.2,"Imported successfully"
"22/02/2023 07:18",NV70PNE,78.95,"Not imported vehicle not recognised"
"26/02/2023 12:14",PL18UET,69.63,"Not imported vehicle not recognised"
"22/02/2023 07:55",SA67TYS,94.15,"Not imported vehicle not recognised"
"22/02/2023 10:05",SA70XVR,68.1,"Not imported vehicle not recognised"
"20/02/2023 09:08",SB69BBO,52.19,"Imported successfully"
"23/02/2023 15:05",SB69BVO,51.7,"Not imported vehicle not recognised"
"21/02/2023 12:50",SB69JYW,53.25,"Imported successfully"
"21/02/2023 18:16",SG18YUO,45.74,"Imported successfully"
"24/02/2023 06:40",SG20OJE,60.72,"Imported successfully"
"21/02/2023 06:41",SG20OJE,57.21,"Imported successfully"
"22/02/2023 12:27",SG20OJJ,81.26,"Imported successfully"
"23/02/2023 11:50",SG20OJT,79.09,"Not imported vehicle not recognised"
"23/02/2023 12:52",SG20OLP,60.79,"Imported successfully"
"21/02/2023 12:12",SG20OLP,49.85,"Imported successfully"
"20/02/2023 09:20",SG20OMD,69.13,"Imported successfully"
"22/02/2023 07:45",SG20OMV,80.91,"Imported successfully"
"21/02/2023 12:59",SH69XVB,51.51,"Imported successfully"
"24/02/2023 12:14",SH70KFF,67.7,"Imported successfully"
"22/02/2023 10:40",SH70KFF,75.63,"Imported successfully"
"22/02/2023 13:58",SM22LHW,76.02,"Imported successfully"
"25/02/2023 15:16",SM22LHY,58.08,"Imported successfully"
"23/02/2023 08:53",SM22LHY,73.11,"Imported successfully"
"20/02/2023 13:40",SM22LHY,68.69,"Imported successfully"
"24/02/2023 15:59",SM22LHZ,78.86,"Imported successfully"
"22/02/2023 16:46",SM22XAC,72.73,"Imported successfully"
"21/02/2023 09:41",SM22XAC,20.43,"Imported successfully"
"20/02/2023 09:17",SM22XAC,59.47,"Imported successfully"
"21/02/2023 16:10",WJ70WHA,62.91,"Imported successfully"
"22/02/2023 14:04",WN70BDE,68.95,"Imported successfully"
"24/02/2023 15:05",WN70BEO,63.43,"Imported successfully"
"24/02/2023 17:52",WP70GOA,92.79,"Imported successfully"
"20/02/2023 16:27",WP70LCL,79.75,"Imported successfully"
"24/02/2023 12:06",WP70LDV,75.86,"Imported successfully"
"24/02/2023 15:08",WP70LGF,61.2,"Imported successfully"
"20/02/2023 12:32",WP70LHZ,76.67,"Imported successfully"
"21/02/2023 15:26",WP70TZK,68.67,"Imported successfully"
"23/02/2023 09:59",WP70UAN,74.02,"Not imported vehicle not recognised"
"23/02/2023 09:14",WV70PKK,64.23,"Imported successfully"
"23/02/2023 20:17",WV70PMY,76.75,"Imported successfully"
"24/02/2023 14:52",X28KEV,65.4,"Not imported vehicle not recognised"
"21/02/2023 18:01",X28KEV,90.69,"Not imported vehicle not recognised"
"23/02/2023 08:33",YJ19CBG,60.44,"Not imported vehicle not recognised"
"23/02/2023 14:19",YJ19CPD,60.48,"Imported successfully"
"24/02/2023 14:53",YP20AOT,74.11,"Imported successfully"
"24/02/2023 09:37",YP22CKU,66.47,"Imported successfully"
"21/02/2023 14:18",YP22CLZ,89.85,"Imported successfully"
"22/02/2023 18:29",YP22CMF,85.34,"Imported successfully"
"22/02/2023 11:07",YP22CNK,75.17,"Imported successfully"
"21/02/2023 14:21",YP22CNK,73.03,"Imported successfully"
"20/02/2023 09:29",YP22CNK,65.08,"Imported successfully"
"24/02/2023 14:11",YP22CNO,77.02,"Imported successfully"
"21/02/2023 08:01",YP22CNV,69.2,"Imported successfully"
"24/02/2023 07:03",YP72FBF,33.25,"Not imported vehicle not recognised"
"21/02/2023 17:22",YP72FBU,40.99,"Not imported vehicle not recognised"
"24/02/2023 12:00",YP72GBY,36.44,"Not imported vehicle not recognised"
"23/02/2023 11:50",YP72GVN,35.94,"Not imported vehicle not recognised"
"22/02/2023 14:25",YP72GVV,39.46,"Not imported vehicle not recognised"
"23/02/2023 16:31",YR70USD,71.34,"Imported successfully"
"24/02/2023 13:19",YR72RYK,26.16,"Not imported vehicle not recognised"
"22/02/2023 12:38",YR72RYK,24.4,"Not imported vehicle not recognised"
"20/02/2023 08:35",YR72RYK,33.82,"Not imported vehicle not recognised"
"20/02/2023 17:38",YR72RYM,35.85,"Not imported vehicle not recognised"
"23/02/2023 08:21",YT22XJM,49.1,"Imported successfully"
"24/02/2023 09:57",YT22XJO,57.22,"Imported successfully"
"21/02/2023 07:24",YT22XJP,52.97,"Imported successfully"
"24/02/2023 15:38",YT22XJU,47.36,"Imported successfully"
"21/02/2023 16:16",YT22XLU,51.23,"Imported successfully"
