"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"15/03/2023 07:45",EK22WVC,60.74,"Not imported vehicle not recognised"
"15/03/2023 07:32",WV70PNE,80.7,"Imported successfully"
"15/03/2023 06:53",BD20AKY,73.4,"Not imported vehicle not recognised"
"15/03/2023 06:38",SG20OJE,66,"Imported successfully"
"14/03/2023 18:20",SM22XAC,61.72,"Not imported vehicle not recognised"
"14/03/2023 16:23",BJ22FXO,60.34,"Imported successfully"
"14/03/2023 16:15",BT70VVM,74.92,"Imported successfully"
"14/03/2023 15:16",SB69BBO,54.9,"Imported successfully"
"14/03/2023 14:24",CA22OKU,76.96,"Not imported vehicle not recognised"
"14/03/2023 12:58",HV72OKX,76.79,"Not imported vehicle not recognised"
"14/03/2023 12:47",BT71OFL,73.71,"Imported successfully"
"14/03/2023 12:32",FN67VYP,123.59,"Imported successfully"
"14/03/2023 12:28",BJ70YKG,70.08,"Imported successfully"
"14/03/2023 11:45",YP22CNK,76.14,"Imported successfully"
"14/03/2023 11:32",YP22CNK,5.93,"Imported successfully"
"14/03/2023 11:26",DL21KFD,132.67,"Not imported vehicle not recognised"
"14/03/2023 10:22",YJ19CPG,58.58,"Imported successfully"
"14/03/2023 10:02",SM22LHY,74.64,"Imported successfully"
"14/03/2023 09:02",MA70LGZ,52.41,"Imported successfully"
"14/03/2023 08:17",YP72FBG,42.08,"Not imported vehicle not recognised"
"14/03/2023 07:40",HW20XLD,74.77,"Imported successfully"
"14/03/2023 07:38",BK22WZE,51.07,"Imported successfully"
"13/03/2023 16:37",BT71OKK,30.92,"Imported successfully"
"13/03/2023 16:08",DL22YKU,81.9,"Not imported vehicle not recognised"
"13/03/2023 14:02",WP70LDV,73.59,"Imported successfully"
"13/03/2023 13:41",BK22WXN,74.39,"Imported successfully"
"13/03/2023 13:38",FN19JLO,284.59,"Imported successfully"
"13/03/2023 13:32",BG70TDU,69.16,"Imported successfully"
"13/03/2023 13:16",DT19BSX,51.43,"Not imported vehicle not recognised"
"13/03/2023 12:16",HT71RZO,67.49,"Not imported vehicle not recognised"
"13/03/2023 12:13",SB22LCJ,41.14,"Not imported vehicle not recognised"
"13/03/2023 11:52",CK70VFA,66.75,"Imported successfully"
"13/03/2023 11:44",GL70BJV,80.73,"Imported successfully"
"13/03/2023 11:42",LG12LSE,89.12,"Not imported vehicle not recognised"
"13/03/2023 11:19",YR72RYK,26.69,"Not imported vehicle not recognised"
"13/03/2023 10:25",BD20AKY,78.1,"Not imported vehicle not recognised"
"13/03/2023 10:22",BK22WVS,71.03,"Imported successfully"
"13/03/2023 09:26",BN70XKS,71.89,"Not imported vehicle not recognised"
"13/03/2023 09:24",YP72HLH,40.88,"Not imported vehicle not recognised"
"13/03/2023 09:18",BK22WXM,61.15,"Imported successfully"
"13/03/2023 08:53",SH20OJJ,82.99,"Not imported vehicle not recognised"
"13/03/2023 08:51",BK22WWC,75.8,"Imported successfully"
"13/03/2023 08:37",CA22WCP,77.78,"Not imported vehicle not recognised"
"13/03/2023 08:26",SM22LJF,73.4,"Imported successfully"
"13/03/2023 08:11",FN67VYP,123.59,"Imported successfully"
"13/03/2023 07:47",SG20OMD,70.2,"Imported successfully"
"13/03/2023 07:41",SG20OMV,80.22,"Imported successfully"
"13/03/2023 07:40",BT70VVH,73.54,"Imported successfully"
"13/03/2023 07:31",YP72GVY,41.45,"Not imported vehicle not recognised"
"13/03/2023 07:03",WP70LFV,41.06,"Imported successfully"
