"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"07/03/2023 12:46",SG20OMD,67.24,"Imported successfully"
"07/03/2023 11:31",SG20OMV,67.36,"Imported successfully"
"09/03/2023 16:21",SG70PXJ,90.5,"Not imported vehicle not recognised"
"07/03/2023 13:36",SH21AUP,62.3,"Imported successfully"
"08/03/2023 09:12",SH69XVB,54.7,"Imported successfully"
"10/03/2023 12:13",SH70KFF,74.35,"Imported successfully"
"06/03/2023 08:10",SH70KFF,80.03,"Imported successfully"
"09/03/2023 10:07",SH72NSE,74.19,"Not imported vehicle not recognised"
"08/03/2023 11:35",SH72OJS,73.41,"Not imported vehicle not recognised"
"10/03/2023 07:55",SM22LHW,60.62,"Imported successfully"
"07/03/2023 08:32",SM22LHW,57.93,"Imported successfully"
"11/03/2023 18:37",SM22LHY,81.47,"Imported successfully"
"07/03/2023 10:46",SM22LHY,69.89,"Imported successfully"
"08/03/2023 08:23",SM22LJE,69.14,"Imported successfully"
"10/03/2023 13:52",SM22LJF,68.01,"Imported successfully"
"07/03/2023 15:14",SM22LJF,62.46,"Imported successfully"
"08/03/2023 19:16",SM22XAE,71.69,"Imported successfully"
"06/03/2023 12:03",SN22WZS,33.36,"Not imported vehicle not recognised"
"10/03/2023 15:50",WJ70WHA,72.03,"Imported successfully"
"12/03/2023 08:45",WN70BDE,72.87,"Imported successfully"
"10/03/2023 14:25",WN70BEO,71.68,"Imported successfully"
"10/03/2023 18:00",WP70GOA,91.89,"Imported successfully"
"06/03/2023 06:42",WP70LCL,79.02,"Imported successfully"
"08/03/2023 07:06",WP70LFV,56.89,"Imported successfully"
"08/03/2023 16:07",WP70LGF,75.21,"Imported successfully"
"06/03/2023 16:40",WP70LHZ,80.85,"Imported successfully"
"10/03/2023 10:29",WP70TYT,72.3,"Imported successfully"
"06/03/2023 11:12",WP70TZK,71.65,"Imported successfully"
"08/03/2023 11:35",WP70UAN,51.45,"Not imported vehicle not recognised"
"10/03/2023 15:42",WV70PKK,69.17,"Imported successfully"
"12/03/2023 14:16",WV70PMY,75.34,"Imported successfully"
