Date and Time,Drawing Vehicle,Net Cost
12/03/2023 08:45,WN70BDE,72.87
10/03/2023 14:25,WN70BEO,71.68
10/03/2023 18:00,WP70GOA,91.89
06/03/2023 06:42,WP70LCL,79.02
08/03/2023 07:06,WP70LFV,56.89
08/03/2023 16:07,WP70LGF,75.21
06/03/2023 16:40,WP70LHZ,80.85
10/03/2023 10:29,WP70TYT,72.3
06/03/2023 11:12,WP70TZK,71.65
08/03/2023 11:35,WP70UAN,51.45
10/03/2023 15:42,WV70PKK,69.17
12/03/2023 14:16,WV70PMY,75.34
06/03/2023 16:32,WV70PMY,80.51
08/03/2023 12:37,WV70PNE,62.55
06/03/2023 12:01,WV70PNE,66.85
12/03/2023 14:07,X28KEV,62.5
09/03/2023 12:49,X28KEV,60.27
07/03/2023 08:17,X28KEV,70.46
08/03/2023 16:14,YJ19CPD,62.64
09/03/2023 08:03,YJ19CPG,64.59
07/03/2023 15:52,YP20AOO,82.63
08/03/2023 12:31,YP20AOT,82.73
09/03/2023 12:15,YP22CLN,70.91
11/03/2023 09:37,YP22CLZ,86.46
07/03/2023 13:39,YP22CLZ,81.31
07/03/2023 17:34,YP22CMF,81.18
07/03/2023 15:02,YP22CND,78.8
08/03/2023 08:57,YP22CNK,65.5
07/03/2023 10:11,YP22CNS,79.45
08/03/2023 11:42,YP22COH,82.32
10/03/2023 07:00,YP72FBF,28.01
06/03/2023 17:46,YP72FBU,39.59
10/03/2023 11:10,YP72FBV,39.46
07/03/2023 11:42,YP72GBY,35
07/03/2023 11:35,YP72GGJ,36.75
06/03/2023 12:02,YP72GVN,25.46
06/03/2023 08:40,YP72GVV,36.82
10/03/2023 07:28,YR70USD,71.6
09/03/2023 13:21,YR72RYK,39.04
06/03/2023 10:03,YR72RYK,34.79
12/03/2023 11:23,YR72RYM,38.11
10/03/2023 08:46,YT22XJM,56.04
08/03/2023 14:04,YT22XJN,36.61
10/03/2023 15:45,YT22XJP,57.03
07/03/2023 08:43,YT22XJP,56.34
09/03/2023 16:04,YT22XJU,42.41
09/03/2023 09:29,YT22XJV,57.8
08/03/2023 14:18,YT22XLU,58.36
