id	order	page_title	app_question	app_question_with_defect	defect	defect_order	has_image	has_text	is_prohibitional	safety_notes	for_hgv	for_non-hgv
34	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Steering (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
35	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Tachograph (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
36	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Tachograph (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
37	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Temperature (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
38	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Temperature (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
39	2	Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Brake system	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
40	2	Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Fuel leak	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
41	2	Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Oil leak	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
42	2	Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Water leak	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
43	3	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Headlight cracked	0	1	0	1	Roadworthy but obtain replacement	1	1
44	3	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Headlight damaged	0	1	0	1	Roadworthy but obtain replacement	1	1
45	3	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Headlight bulb blown	0	0	0	1	Not roadworthy replace bulb	1	1
46	3	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Headlight fuse blown	0	0	0	1	Not roadworthy replace fuse	1	1
47	3	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelight cracked	0	1	0	1	Roadworthy but obtain replacement	1	1
48	3	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelight damaged	0	1	0	1	Roadworthy but obtain replacement	1	1
49	3	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelight bulb blown	0	0	0	1	Not roadworthy replace bulb	1	1
50	3	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelight fuse blown	0	0	0	1	Not roadworthy replace fuse	1	1
51	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Indicator cracked	0	1	0	1	Roadworthy if no white light evident through lens	1	1
